2002.09.16 16:51 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.gonad20x1.25x.mo <-- paul's /home/pdeley/public_html/vCenema1/Ppenetrans Ppenetrans.fem.gonad20x1.25x.mo
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\clipsicon1.gif --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans clipsicon1.gif
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\clipsicon2.gif --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans clipsicon2.gif
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\pageborder.gif --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans pageborder.gif
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.gif --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.gif
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.glandbulb.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.glandbulb.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.jpg --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.jpg
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.lipregion.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.lipregion.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.medbulb.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.medbulb.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.ovarytip.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.ovarytip.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.sptheca.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.sptheca.mov
