ImageIndex,record_id,processid,specimen_identifiers,identification_method,phylum,class,order,family,genus,species,sex,lifestage,lat,lon,site_code,caption,media_descriptor,image_file,copyright_institution,photographer
ImgIndex_0001,2468984,ACGBA365-12,DHJPAR0046202,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.7683,-85.4257,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_B+1553274596.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0002,2468984,ACGBA365-12,DHJPAR0046202,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.7683,-85.4257,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_A+1553274586.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0003,2468984,ACGBA365-12,DHJPAR0046202,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.7683,-85.4257,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202+1553274734.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0004,2469001,ACGBA382-12,DHJPAR0046219,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.9269,-85.4682,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219+1553275898.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0005,2469001,ACGBA382-12,DHJPAR0046219,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.9269,-85.4682,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_A+1553275776.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0006,2469001,ACGBA382-12,DHJPAR0046219,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,10.9269,-85.4682,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_B+1553275788.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0007,2469005,ACGBA386-12,DHJPAR0046223,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Tail+1554479422.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0008,2469005,ACGBA386-12,DHJPAR0046223,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223+1554478142.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0009,2469005,ACGBA386-12,DHJPAR0046223,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Head+1554479414.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0010,2469009,ACGBA390-12,DHJPAR0046227,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_B+1548784964.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0011,2469009,ACGBA390-12,DHJPAR0046227,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_A+1548784482.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0012,2469009,ACGBA390-12,DHJPAR0046227,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227+1553276070.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0013,2469019,ACGBA400-12,DHJPAR0046237,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,10.9867,-85.385,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_A+1548707280.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0014,2469019,ACGBA400-12,DHJPAR0046237,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,10.9867,-85.385,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_B+1548707840.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0015,2469019,ACGBA400-12,DHJPAR0046237,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,10.9867,-85.385,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237+1553276338.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0016,2469027,ACGBA408-12,DHJPAR0046245,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,10.9285,-85.4668,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Head+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0017,2469027,ACGBA408-12,DHJPAR0046245,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,10.9285,-85.4668,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2+1552571700.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0018,2469027,ACGBA408-12,DHJPAR0046245,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,10.9285,-85.4668,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Tail+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0019,2469040,ACGBA421-12,DHJPAR0046258,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0425,-85.4034,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_A+1553276518.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0020,2469040,ACGBA421-12,DHJPAR0046258,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0425,-85.4034,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_B+1548710462.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0021,2469040,ACGBA421-12,DHJPAR0046258,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,11.0425,-85.4034,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258+1553276692.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0022,2469048,ACGBA429-12,DHJPAR0046266,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,11.0123,-85.3493,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_A+1553276732.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0023,2469048,ACGBA429-12,DHJPAR0046266,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,11.0123,-85.3493,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_B+1548779114.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0024,2469048,ACGBA429-12,DHJPAR0046266,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,11.0123,-85.3493,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266+1553276904.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0025,2469050,ACGBA431-12,DHJPAR0046268,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_A+1548785738.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0026,2469050,ACGBA431-12,DHJPAR0046268,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_B+1548786424.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0027,2469050,ACGBA431-12,DHJPAR0046268,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,11.0193,-85.41,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268+1553277052.JPG,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0028,2469072,ACGBA453-12,DHJPAR0046290,,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,,,last instar larva,11.0052,-85.474,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1+1552577520.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0029,2469072,ACGBA453-12,DHJPAR0046290,,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,,,last instar larva,11.0052,-85.474,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1_Head+1552593000.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0030,2469072,ACGBA453-12,DHJPAR0046290,,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,,,last instar larva,11.0052,-85.474,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1_Tail+1552593120.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0031,2469074,ACGBA455-12,DHJPAR0046292,,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,,,last instar larva,11.0052,-85.474,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046292_Tail+1552593300.jpg,Centre for Biodiversity Genomics,CBG Photography Group
ImgIndex_0032,2469074,ACGBA455-12,DHJPAR0046292,,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,,,last instar larva,11.0052,-85.474,,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046292+1552593240.jpg,Centre for Biodiversity Genomics,CBG Photography Group
