From,Description,To
1,"Stoma with subventral mural tooth, stoma wide, cardia with 3 gland cells",2
1,"Stoma with axial odontostyle, stoma narrow, cardia small, without gland cells",17
2,"Female reproductive system monovarial, opisthodelphic; basal part of esophagus with a sheath of spiral muscles",4
2,"Female reproductive system diovarial, amphidelphic; basal part of esophagus with a thin muscle sheath which is difficult to discern",3
3,Anterior part of stoma bowl-shaped and sclerotized,5
3,"Anterior part of stoma simple, without sclerotization",6
4,Body length < 1.4 mm; cuticle thin with fine transverse striations; lip region continuous with body contour,"Nygellus Thorne, 1939"
4,Body length < 1.4 mm; cuticle thin with fine transverse striations,"Aetholaimus Williams, 1962"
5,"Basal part < 1/2 of esophagus length; esophageal gland nuclei not enlarged; cardia with 3 small transversely-ovoid glands; vulva transverse; , no paravulvae",7
5,Basal part < 1/2 of esophagus length; esophageal gland nuclei enlarged and readily visible; cardia with 3 longitudinally-ovoid glands; vulva longitudinal; ventral adanal region with papillae or pores (paravulvae),15
6,"Basal part about 2/3 of esophagus length; cardial disk, no cardia glands; vulva transverse, no paravulvae",16
6,"Mural tooth needle-like, no lumen",8
7,"Mural tooth deltoid, linear or dorylaimoid, with lumen",10
7,Tail elongate with clavate terminus,"Clavicauda Heyns, 1968"
8,"Tail short and bluntly rounded, not clavate",9
8,"Labial region offset by a constriction, anterior body contour not continuous","Solididens Heyns, 1968"
9,Labial region continuous with body contour,"Feroxides Heyns, 1968"
9,"Tail long, elongate-conoid, ventrally arcuate","Afronygus Heyns, 1968"
10,"Tail short, convex-conoid to rounded, or clavate",11
10,Tooth dorylaimoid with dorsal aperture,"Laevides Heyns, 1968"
11,"Tooth deltoid or linear, without aperture",12
11,"Labial region offset by a constriction, anterior body contour not continuous; tooth deltoid",13
12,Labial region continuous with body contour; tooth deltoid or linear,14
12,Male with prominent ventromedian supplements and gubernaculum,"Paranygolaimus Heyns, 1968"
13,Male with weak ventromedian supplements; gubernaculum absent,"Nygolaimus Cobb, 1913"
13,"Tooth linear, tail convex-conoid or rounded","Aquatides Heyns, 1968"
14,"Tooth deltoid or linear, tail rounded to clavate","Clavicaudoides Heyns, 1968"
14,Vulva longitudinal; cardia glands longitudinally ovoid,"Paravulvus Heyns, 1968"
15,"Basal part about 2/3 of esophagus length; cardial disk, no cardia glands; vulva transverse","Nygolaimellus Loos, 1949"
15,Odontostyle usually < 2x lip width; anterior section of esophagus slender but muscular; posterior without muscular sheath; 5 esophageal nuclei,18
16,Odontostyle very long and slender; anterior section of esophagus slender not muscular; posterior without muscular sheath; 3 esophageal nuclei,153
16,"Odontostyle usually about 1x lip width; anterior section of esophagus slender but muscular, posterior surrounded by muscular sheath; 5 esophageal nuclei",160
17,Odontostyle usually 1-2x lip width; anterior section of esophagus,195
17,"muscular, posterior section a short bulb without muscular sheath; 5 esophageal nuclei",
18,Stoma with 4 large onchia surrounding odontostyle,26
18,Stoma without large onchia,19
19,Cuticle with numerous conspicuous pores with sclerotized ducts,42
19,Cuticle without pores with sclerotized ducts,20
20,Anterior of body strongly tapered to a small head; subcuticular glands present,49
20,Anterior of body gently tapered to a normal dorylaimid head; subcuticular glands absent,21
21,Lip region low with the two circles of labial papillae close together,52
21,Lip region normal with the two circles of labial papillae well separated,22
22,Sublabial region sclerotized; lips amalgamated; males with few supplements,57
22,Sublabial region not sclerotized; males with variable number of supplements,23
23,Odontostyle long and slender with small aperture; odontophore surrounded by muscular sheath,68
23,Odontostyle intermediate length and diameter with large aperture,24
24,Female tail attenuated to filiform; male tail similar or short,86
24,Both female and male with short tail,25
25,"Odontostyle aperture >1/2 odontostyle length; guiding ring plicated, appears double",110
25,Odontostyle aperture <1/2 odontostyle length; guiding ring simple,123
26,"Odontostyle robust, dorylaimoid; cuticle without longitudinal ridges; anterior and posterior parts of esophagus muscular; vulval lips sclerotized; male and female with similar long tails",27
26,"Odontostyle fairly robust, dorylaimoid; cuticle usually smooth; anterior and posterior parts of esophagus muscular; vulval lips sclerotized; male with short, rounded tail; female with long tail",32
26,"Odontostyle long and slender; cuticle with longitudinal ridges; anterior part of esophagus non-muscular, mid and and posterior parts muscular; vulval lips not sclerotized; male with short, rounded tail; female with long tail",28
27,Stoma with denticles,"Trachypleurosum Andrassy, 1959"
27,"Tail differs in male and female, elongate to filiform in female, short and rounded in male","Trachactinolaimus Andrassy, 1963"
28,Labial region low; odontostyle fairly robust,"Parastomachoglossa Coomans & Loof, 1986"
28,Labial region normal; odontostyle not robust,29
29,Cuticle very thick; inner vulval lips wider than vagina,"Brasilaimus Zamith & Lordello, 1957"
