Nacobbus aberrans
Pratylenchus acuticaudatus
Pratylenchus agilis
Pratylenchus alleni
Pratylenchus allius
Pratylenchus andinus
Pratylenchus angelicae
Pratylenchus angulatus
Pratylenchus araucensis
Pratylenchus arlingtoni
Pratylenchus artemisiae
Pratylenchus australis
Pratylenchus barkati
Pratylenchus bhattii
Pratylenchus bicaudatus
Pratylenchus bolivianus
Pratylenchus brachyurus
Pratylenchus brassicae
Pratylenchus brevicercus
Pratylenchus brzeskii
Pratylenchus cerealis
Pratylenchus chrysanthus
Pratylenchus clavicaudatus
Pratylenchus codiaei
Pratylenchus coffeae
Pratylenchus coffeae brasiliensis
Pratylenchus convallariae
Pratylenchus crassi
Pratylenchus crenatus
Pratylenchus crossandrae
Pratylenchus cruciferus
Pratylenchus curvicauda
Pratylenchus dasi
Pratylenchus delattrei
Pratylenchus dioscoreae
Pratylenchus dunensis
Pratylenchus ekrami
Pratylenchus elamini
Pratylenchus emarginatus
Pratylenchus estoniensis
Pratylenchus exilis
Pratylenchus fallax
Pratylenchus flakkensis
Pratylenchus floridensis
Pratylenchus gibbicaudatus
Pratylenchus gongjuensis
Pratylenchus goodeyi
Pratylenchus gotohi
Pratylenchus graminis
Pratylenchus haiduongensis
Pratylenchus heterocercus
Pratylenchus hexincisus
Pratylenchus himalayaensis
Pratylenchus hippeastri
Pratylenchus hispaniensis
Pratylenchus horti
Pratylenchus indicus
Pratylenchus ispagoli
Pratylenchus japonicus
Pratylenchus jordanensis
Pratylenchus kasari
Pratylenchus kolourus
Pratylenchus kralli
Pratylenchus kumamotoensis
Pratylenchus kumaoensis
Pratylenchus lentis
Pratylenchus loofi
Pratylenchus loosi
Pratylenchus macrostylus
Pratylenchus manaliensis
Pratylenchus manohari
Pratylenchus mediterraneus
Pratylenchus menthae
Pratylenchus microstylus
Pratylenchus montanus
Pratylenchus morettoi
Pratylenchus mulchandi
Pratylenchus muli
Pratylenchus musae
Pratylenchus musii
Pratylenchus neglectus
Pratylenchus neobrachyurus
Pratylenchus nizamabadensis
Pratylenchus obtusicaudatus
Pratylenchus obtusus
Pratylenchus okinawaensis
Pratylenchus oleae
Pratylenchus panamaensis
Pratylenchus parafloridensis
Pratylenchus parazeae
Pratylenchus peelari
Pratylenchus penetrans
Pratylenchus pinguicaudatus
Pratylenchus portulacus
Pratylenchus pratensis
Pratylenchus pratensis bicaudatus
Pratylenchus pratensis tenuistriatus
Pratylenchus pratensisobrinus
Pratylenchus pseudocoffeae
Pratylenchus pseudofallax
Pratylenchus pseudopratensis
Pratylenchus quasitereoides
Pratylenchus ranjani
Pratylenchus rhizasinus
Pratylenchus roseus
Pratylenchus rwandae
Pratylenchus sacchari
Pratylenchus scribneri
Pratylenchus sefaensis
Pratylenchus sensillatus
Pratylenchus septincisus
Pratylenchus silvaticus
Pratylenchus speijeri
Pratylenchus stupidus
Pratylenchus subpenetrans
Pratylenchus subranjani
Pratylenchus sudanensis
Pratylenchus tenuis
Pratylenchus teres
Pratylenchus teres teres
Pratylenchus teres vandenbergae
Pratylenchus thornei
Pratylenchus tulaganovi
Pratylenchus tumidiceps
Pratylenchus turmeri
Pratylenchus typicus
Pratylenchus unzenensis
Pratylenchus uralensis
Pratylenchus variacaudatus
Pratylenchus ventroprojectus
Pratylenchus vulnus
Pratylenchus wescolagricus
Pratylenchus yamagutii
Pratylenchus yassini
Pratylenchus zeae
