Reference,Species,Confirmation,n,type,LGT (mm),a,b,b',c,c',V,T,STY μm,spicules,gubernaculum,DHV,STA,m,DGO,BBE,OVI,OGO,EXPO,DVU,ANW,LFW,TAIL,DAN,ANT,FRW,ANP,PRO,HAB,ANL,LIP,INC,TSH,KBS,APR,Tipann,Vann,ARO
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1960",1,Female lectotype,0.46,28.0,3.6,,20.0,,77.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1960",27,females,0.49,27.7,5.7,,17.4,,78.0,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Seinhorst, 1959",10,females,0.55,32.5,6.1,,19.5,,78.5,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Seinhorst, 1959",10,males,0.53,37.0,6.8,,20.5,,,48.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1974",15,females,0.52,28.0,5.5,,19.0,2.4,77.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1974",10,females,0.64,30.0,7.1,,18.0,2.8,76.5,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1974",5,females,0.58,29.0,6.2,,20.5,2.6,75.5,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1974",3,males,0.51,30.0,5.8,,18.0,2.5,,43.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Loof, 1974",5,females,0.56,32.0,6.0,,19.0,,,49.0,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Ryss, 1988",10,females,0.50,23.0,5.0,4.0,19.0,2.4,77.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus pratensis (de Man, 1880) Filipjev, 1936","Ryss, 1988",4,males,0.58,30.0,5.8,3.9,19.0,2.5,,,14.0,18,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
