Key,Param,Image,Obs,Genus,Include,ImageDetail,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost1.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,body,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost10.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,tail,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost2.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,head,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost3.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,amphid,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost4.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,dorsal gland nucleus,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost5.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,vulva,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost6.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,tail,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost7.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,body,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost8.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,amphid,
4,accordioncollapse-1-004,https://nematode.unl.edu/xcost9.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,head,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiagw1.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,body,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiagw2.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,head,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiagw3.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,basal bulb,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiagw4.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,vulva,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiagw5.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,tail,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiam1.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,vulva,
4,accordioncollapse-1-004,https://nematode.unl.edu/xiam10.jpg,Stylet extensions with sclerotized basal flanges; guiding ring near the base of stylet just anterior to junction of stylet and stylet extensions,Xiphinema,Yes,tail,
