ImageName,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/UNL-Nemalogo.jpg,,,,,,,,,,,,,,,
https://nematode.unl.edu/cyli1.jpg,juvenile,,,head,Anterior,1000X,Homestead National Monument of America - Nebraska,Big bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cyli2.jpg,juvenile,,,amphid,Anterior,1000X,Homestead National Monument of America - Nebraska,Big bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cyli3.jpg,female,,,head,Anterior,400X,Homestead National Monument of America - Nebraska,Big bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus1.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus10.jpg,juvenile,,,lateral field,,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus11.jpg,juvenile,,,body,,100X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus12.jpg,juvenile,,,head,Anterior,400X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus13.jpg,juvenile,,,head,Anterior,100X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus14.jpg,juvenile,,,basal esophagus,,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus2.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus3.jpg,female,,,vulva,,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus4.jpg,female,,,vulva,,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus5.jpg,female,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus6.jpg,female,,,head,Anterior,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus7.jpg,juvenile,,,head,Anterior,400X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus8.jpg,juvenile,,,tail,,400X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/cylmus9.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Caucasian bluestem,Cylindrolaimus,,,,,,
https://nematode.unl.edu/achroma1.jpg,female,,,amphid,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma10.jpg,female,,,head,Anterior,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma2.jpg,female,,,cuticle,,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma3.jpg,female,,,head,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma4.jpg,female,,,vulva,,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma5.jpg,female,,,amphid,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma6.jpg,female,,,corpus,,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma7.jpg,female,,,esophagus,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma8.jpg,female,,,head,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achroma9.jpg,female,,,head,Anterior,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora,,,,,,
https://nematode.unl.edu/achrsp1.jpg,female,,,cuticle,,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora,,,,,,
https://nematode.unl.edu/achrsp2.jpg,female,,,body,,100X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora,,,,,,
https://nematode.unl.edu/achrsp3.jpg,female,,,vulva,,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora,,,,,,
https://nematode.unl.edu/achrsp4.jpg,female,,,head,Anterior,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora,,,,,,
https://nematode.unl.edu/achrsp5.jpg,female,,,tail,,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora,,,,,,
https://nematode.unl.edu/achrsp6.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",Fragrant sumac,Achromadora,,,,,,
