ImageIndex,identification_method,phylum,class,order,family,genus,species,sex,lifestage,caption,media_descriptor,image_file,copyright_institution,photographer,source
ImgIndex_0001,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_B+1553274596.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0002,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_A+1553274586.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0003,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202+1553274734.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0004,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219+1553275898.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0005,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_A+1553275776.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0006,,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_B+1553275788.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0007,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Tail+1554479422.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0008,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223+1554478142.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0009,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Head+1554479414.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0010,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_B+1548784964.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0011,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_A+1548784482.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0012,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227+1553276070.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0013,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_A+1548707280.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0014,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_B+1548707840.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0015,,Nematoda,Enoplea,Mermithida,Mermithidae,nematodeJanzen01,nematodeJanzen01 Janzen1914,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237+1553276338.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0016,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Head+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0017,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2+1552571700.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0018,,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Tail+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0019,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_A+1553276518.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0020,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_B+1548710462.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0021,,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258+1553276692.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0022,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_A+1553276732.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0023,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_B+1548779114.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0024,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266+1553276904.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0025,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_A+1548785738.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0026,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_B+1548786424.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0027,,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,,last instar larva,,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268+1553277052.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
