media_descriptor,copyright_institution,photographer,species,identification_method,lifestage,caption,sex,source,phylum,image_file,genus
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/001-100Xfem064.m4v,Tylenchoidea
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/002-100Xfem065.m4v,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/003-seq0007.jpg,Tylenchoidea
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/004-100Xfem066.m4v,Tylenchoidea
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/005-100Xfem067.m4v,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/006-seq0009.jpg,Tylenchoidea
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/007-100Xfem068.m4v,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/008-seq0011.jpg,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/010-seq0013.jpg,Tylenchoidea
,,,,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/011-100Xfem070.m4v,Tylenchoidea
