genus,href,title,caption,author
Achromadora,,,,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/8/b/5/212577fe-101b-4613-8cd6-f7670fa2d1db_achromadora%20overview3.jpg,Achromadora: female body with vulva at mid-body,Achromadora: female body with vulva at mid-body,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/4/c/b/9a718a0a-5af8-48f7-a892-e2d9881fd04b_achromadora%20amphid2.jpg,Achromadora: head region with rows of punctations and amphid,Achromadora: head region with rows of punctations and amphid,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/2/7/9/e36c943e-b8fa-4731-bd11-e25102202284_achromadora%20mouthcavity2.jpg,Achromadora: head with setae and stoma,Achromadora: head with setae and stoma,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/c/5/1/223f9884-46c5-4aac-9f20-00fd996b394e_achromadora%20plaatjes%2Bsetae%2B2%20tandjes2.jpg,Achromadora: head region with setae and stoma with teeth,Achromadora: head region with setae and stoma with teeth,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/1/b/b/b7477d96-74e6-4c09-be11-3e8bbf745c16_achromadora%20amphid%20cuticle2.jpg,Achromadora: head region with annulated cuticle and amphid,Achromadora: head region with annulated cuticle and amphid,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/b/9/4/5a56e8eb-f5cc-498f-902b-914e23d4d7b0_achromadora%20setae%20plates%20mouthcavity2.jpg,Achromadora: head with setae and stoma with teeth,Achromadora: head with setae and stoma with teeth,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/d/8/2/94790205-a573-4c48-8783-9cad164ba0f4_achromadora%20touth%20and%20setae2.jpg,Achromadora: stoma in detail with dorsal tooth and subventral tooth,Achromadora: stoma in detail with dorsal tooth and subventral tooth,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/a/7/e/488159b0-8473-4e47-b5db-57d22cb3f362_achromadora%20slokdarmbasis%2Bamphide2.jpg,Achromadora: anterior region with pharynx overview,Achromadora: anterior region with pharynx overview,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/0/e/d/6056dfda-0a06-4b42-b2f8-7c018b2316cc_achromadora%20cuticula2.jpg,Achromadora: cuticle detail with rows of punctations,Achromadora: cuticle detail with rows of punctations,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/1/3/f/e5334ae1-e850-4f6e-bcec-d5edb651c35a_achromadora%20vulva%20region2.jpg,Achromadora: vulva region,Achromadora: vulva region,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/7/9/7/2b544b38-9d0d-491d-97d4-718de86b2631_achromadora%20end%20of%20oesofages2.jpg,Achromadora: posterior part of the pharynx,Achromadora: posterior part of the pharynx,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/8/4/3/09301e1b-b8aa-45f3-bc28-3da3b9932cb6_achromadora%20vulva3.jpg,Achromadora: small vulva,Achromadora: small vulva,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/d/5/9/4311177b-0017-487d-aaee-092cfe511652_achromadora%20anus2.jpg,Achromadora: conoid shaped tail with anus and spinneret at the tip,Achromadora: conoid shaped tail with anus and spinneret at the tip,Hanny van Megen
Achromadora,https://www.wur.nl/upload_mm/3/d/b/296d2bc4-faeb-45e7-8b43-9e05788cd48b_achromadora%20tail2.jpg,Achromadora: tail with spinneret at the tip,Achromadora: tail with spinneret at the tip,Hanny van Megen
Acrobeles,,,,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/b/0/9/bc10f9f3-c56a-4698-b892-5d040a82afbb_nematode%20Theristris_Acrobeles1%5B1%5D.jpg,Acrobeles complexus/Picture: Hanny van Megen,Acrobeles complexus/Picture: Hanny van Megen,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/f/0/e/a19e891d-e2ba-4dc1-8ea6-a39027901e80_Acrobeles%20lipaanhangsels.jpg,Acrobeles: labial probolae,Acrobeles: labial probolae,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/5/2/9/bf32b116-03f6-45b4-a662-31a60f783764_Acrobeles%20mondholte%2Cged.%20slokdarm%2Clipaanhangsels.jpg,"Acrobeles: oral cavity, part of the esophagus, labial probolae","Acrobeles: oral cavity, part of the esophagus, labial probolae",Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/8/4/0/e017800c-27e7-457a-8ffb-655fa1e85ed0_Acrobeles%20mondholte%2Cged.%20slokdarm%2Clipaanhangsels%201.jpg,"Acrobeles: oral cavity, posterior part of the esophagus, labial probolae","Acrobeles: oral cavity, posterior part of the esophagus, labial probolae",Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/8/6/4/aed45b4f-4b31-47dc-a9c9-35eb20ed0cac_Acrobeles%20slokdarmbasis%20%28002%29.jpg,Acrobeles: esophagus,Acrobeles: esophagus,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/9/3/5/9d45595b-b133-4b68-a2df-ce8311cb520d_Acrobeles%20mariannae%20%20overzicht%202%20%28002%29.jpg,Acrobeles mariannae,Acrobeles mariannae,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/c/7/3/3a12ee80-9415-4b42-8cc5-717e67c73958_Acrobeles%20mariannaecephalicprobolae2%5B1%5D.jpg,Acrobeles mariannae: cephalic probolae,Acrobeles mariannae: cephalic probolae,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/6/d/d/78630312-313a-4b18-9d65-b53ce42e10d3_Acrobeles%20mariannae%20lipaanhangsels%20en%20ged.slokdarm%20%28002%29.jpg,Acrobeles mariannae: labial probolae and posterior part of the esophagusd,Acrobeles mariannae: labial probolae and posterior part of the esophagusd,Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/d/e/7/44d7b401-f184-4d79-96c1-fdf59ef38977_Acrobeles%20mariannae%20wimpers%20excretieporie%2019ecuticularing.jpg,"Acrobeles mariannae: probolae, excretion pore at 19th cuticle ring","Acrobeles mariannae: probolae, excretion pore at 19th cuticle ring",Hanny van Megen
Acrobeles,https://www.wur.nl/upload_mm/5/3/5/43f797c8-57d2-42ac-b6e3-93ef1206096f_Acrobeles%20mariannae%20twee%20paar%20preanale%20papillen%20%28002%29.jpg,Acrobeles mariannae: two pairs preanal papillae,Acrobeles mariannae: two pairs preanal papillae,Hanny van Megen
