Genus,Sequence Count
Acantholaimus,40
Acrobeles,20
Acrobeloides,10
Acromoldavicus,6
Acrostichus,53
Actus,6
Adoncholaimus,9
Alaimella,1
Allantonema,2
Allodorylaimus,2
Alloionema,2
Amphibiocapillaria,2
Anatonchus,3
Ancylostoma,2
Anguillonema,13
Anisakis,25
Anticyathus,60
Aonchotheca,8
Aoruroides,6
Aorurus,4
Aphelenchoides,39
Aphelenchus,7
Aporcelaimellus,13
Aporcelinus,11
Aporcella,16
Arundelia,1
Aspiculuris,1
Atetylenchus,11
Auanema,6
Axonchoides,2
Basilaphelenchus,1
Basiria,3
Belonolaimus,4
Bicirronema,1
Boleodorus,24
Breinlia,20
Bursaphelenchus,21
Caenorhabditis,26
Calcaridorylaimus,4
Caloosia,7
Camacolaimus,3
Catanema,2
Cephalenchus,20
Cephalobellus,24
Cephalobus,1
Ceramonema,6
Cercopithifilaria,11
Cervidellus,2
Chiloplacus,2
Choniolaimus,6
Clarkus,3
Cloacina,20
Cobbionema,3
Contracaecum,20
Cooperia,1
Coslenchus,4
Cosmocercoides,40
Crassicauda,20
Criconemella,8
Criconemoides,20
Cylicocyclus,16
Cynura,1
Dacnitoides,2
Deficephalobus,1
Deladenus,6
Demonema,3
Deontostoma,36
Desmoscolex,2
Diastolaimus,4
Dicelis,8
Dichelyne,22
Dictyocaulus,38
Discopersicus,4
Discotylenchus,3
Ditylenchus,54
Dolichodorus,4
Dorydorella,2
Dorylaimopsis,3
Dorylaimus,2
Dracograllus,4
Draconema,2
Draconematidae,1
Drasico,4
Ektaphelenchoides,10
Ektaphelenchus,1
Enchodelus,23
Epacrolaimus,47
Epsilonema,2
Eucephalobus,8
Falcaustra,10
Fergusobia,35
Fescia,1
Filenchus,10
Foleyellides,20
Gammanema,29
Geomonhystera,14
Geraldius,3
Globodera,20
Gracilacus,11
Gyrinicola,52
Haemonchus,1
Halichoanolaimus,13
Haliplectus,20
Halomonhystera,10
Hammerschmidtiella,2
Hedruris,7
Helicotylenchus,21
Hemicriconemoides,20
Hemicycliophora,20
Hemiplectus,2
Heterakis,2
Heterodera,83
Heterodorus,6
Heterorhabditis,27
Hirschmanniella,20
Histotylenchus,1
Hoplolaimus,2
Howardula,10
Hysterothylacium,20
Ironus,2
Klossnema,2
Kochinema,2
Koerneria,20
Kurilonema,7
Labrys,1
Laimaphelenchus,10
Lappetascaris,32
Latronema,12
Leidynema,2
Lenonchium,4
Leptonemella,1
Litinium,8
Lobocriconema,1
Longidorella,2
Longidorus,20
Loofilaimus,2
Macropostrongyloides,20
Makatinus,2
Malenchus,3
Manunema,36
Marshallagia,40
Meloidodera,27
Meloidogyne,20
Meloinema,8
Mesocriconema,2
Mesorhabditis,6
Metaporcelaimus,4
Metastrongylus,6
Metaxonchium,12
Metoncholaimus,6
Microdorylaimus,2
Monhystera,4
Mononchoides,8
Mononchus,3
Monotrichodorus,16
Nacobbus,3
Nematodirella,2
Nematodirus,4
Neodiplogaster,16
Neoentomelas,21
Neofoleyellides,1
Neothada,2
Neotobrilus,2
Odontophora,6
Oesophagostomum,1
Oigolaimella,4
Onchium,2
Onchocerca,38
Onchocercidae,134
Orloffia,12
Oscheius,53
Ostertagia,2
Pakira,2
Panagrellus,6
Panagrolobus,1
Paracanthonchus,72
Paradraconema,4
Parafilaroides,20
Paralongidorus,10
Paramesacanthion,40
Parapharyngodon,6
Parasitorhabditis,2
Parastrongyloides,1
Paratrichodorus,52
Paratylenchus,20
Pellioditis,1
Penjatinema,2
Perostrongylus,6
Phasmarhabditis,3
Phocanema,20
Physaloptera,4
Placodira,2
Platonova,28
Plectus,10
Potensaphelenchus,11
Pratylenchoides,40
Pratylenchus,20
Pristionchus,20
Procamallanus,40
Prochaetosoma,8
Prodorylaimus,2
Pseudacrobeles,5
Pseudoterranova,35
Psilenchus,1
Pungentus,8
Radopholus,10
Raphidascaris,4
Rhabdias,39
Rhyssocolpus,4
Robbea,80
Robustodorus,9
Rotylenchulus,39
Rotylenchus,20
Ruehmaphelenchus,2
Saevadorella,2
Sakia,27
Schistonchus,1
Scutellonema,20
Sectonema,28
Seinura,4
Serpentirhabdias,3
Skarbilovinema,3
Skrjabinisakis,27
Spauligodon,20
Spectatus,1
Sphaerularia,9
Spiroxys,1
Steinernema,40
Strongyloides,20
Syphacia,40
Tarantobelus,8
Tarvaia,2
Teladorsagia,1
Telotylenchus,1
Tenunemellus,1
Teratolobus,2
Thada,1
Thelazia,2
Tobrilus,12
Trachactinolaimus,4
Trichinella,20
Trichodorus,4
Trichotylenchus,2
Trichuris,3
Tricirronema,2
Triodontophorus,6
Tripyla,52
Tripylella,13
Tripylina,19
Trischistoma,8
Triumphalisnema,2
Tuhmai,4
Tylencholaimellus,6
Tylenchorhynchus,2
Urbanonema,6
Urodelnema,3
Varestrongylus,10
Vittatidera,20
Wellcomia,1
Xenocriconemella,103
Xiphinema,64
Xiphinemella,6
Zygonemella,2
Zygotylenchus,4
