Genus,Species Count
Abathymermis,18
Abbreviata,2
Abelbolla,5
Abirovulva,1
Ablechroiulus,18
Aborjinia,3
Abursanema,2
Acanthocheilonema,4
Acanthocheilus,6
Acantholaimus,50
Acanthomicrolaimus,1
Acanthonchus,10
Acanthopharynx,19
Acanthorhabdias,1
Acanthostrongylus,1
Acanthoxyurus,6
Acanthungella,0
Acephalodorylaimus,1
Acheilostoma,0
Achlysiella,6
Achromadora,31
Ackertia,0
Acmaeolaimus,1
Acontylus,0
Acrobeles,50
Acrobelinema,1
Acrobeloides,50
Acrobelophis,11
Acrolobus,2
Acromoldavicus,3
Acronema,1
Acrostichus,43
Acroukrainicus,1
Actinolaimoides,10
Actinolaimus,40
Actinonema,16
Actus,6
Acuaria,17
Acugutturus,0
Aculonchus,6
Acunemella,1
Adelonema,0
Adelphos,1
Adenodelphis,1
Adenolaimus,7
Adieronema,0
Admirandus,5
Adoncholaimus,32
Aduncospiculum,1
Adungella,3
Aegialoalaimus,15
Aelurostrongylus,3
Aenigmenchus,0
Aequalodontium,1
Aetholaimus,5
Afenestrata,6
Afractinca,5
Afractinolaimus,5
Africana,1
Africanema,2
Africanthion,1
Afrina,1
Afritylenchus,0
Afrocarnoya,1
Afrodorylaimus,14
Afronygus,1
Afrophilometra,1
Agamascaris,1
Agamermis,18
Agamofilaria,0
Agamomermis,16
Agamospirura,1
Agfa,3
Aglenchus,18
Agmodorus,5
Agriostomum,0
Akanthepsilonema,3
Akrotonus,1
Alaeuris,41
Alaimella,3
Alaimonema,1
Alaimus,50
Alainchabaudia,0
Alaninema,3
Albiziaphelenchus,1
Algoanema,1
Aliascaris,2
Alinema,2
Alippistrongylus,1
Alirhabditis,2
Allantonema,11
Allintoshius,0
Allodapa,4
Allodiplogaster,37
Allodorylaimus,30
Alloionema,5
Allomermis,4
Allotrichodorus,7
Allotylenchus,1
Alocostoma,0
Amblydorylaimus,1
Amblyonema,0
Amidostomoides,0
Amidostomum,14
Ammotheristus,2
Amphibelondira,3
Amphibiocapillaria,4
Amphibiogoezia,0
Amphibiomermis,18
Amphibiophilus,6
Amphicephaloides,0
Amphidelus,39
Amphidomermis,11
Amphidorylaimus,8
Amphimermis,17
Amphimonhystera,10
Amphimonhystrella,8
Amphisakis,0
Amphisbaenema,3
Amphispira,1
Amplicaecum,8
Amplimerlinius,27
Anadorella,1
Anandranema,0
Ananus,1
Anaplectus,19
Anaspiculuris,1
Anatonchus,28
Anatrichosoma,0
Anchidiplogaster,8
Anchobelondira,1
Ancylostoma,6
Ancyracanthopsis,4
Ancyracanthus,5
Andersonfilaria,0
Andersonstrongylus,0
Andrassya,3
Angiocaulus,1
Angiostoma,26
Angiostrongylus,7
Anguillicola,7
Anguillicoloides,4
Anguillonema,4
Anguillula,25
Anguina,7
Anguinoides,2
Angulocirrus,0
Angusticaecum,4
Angustinema,1
Anisakis,35
Anivanema,1
Anomalomermis,2
Anomalostoma,1
Anomonema,2
Anomyctus,1
Anoncholaimus,1
Anonchus,11
Anoplostoma,28
Anoplostrongylus,1
Antarctenchus,3
Antarcticonema,3
Antarctylus,0
Antechiniella,1
Antechinostrongylus,0
Antholaimus,3
Anthonema,2
Anticoma,50
Anticomopsis,6
Anticyathus,8
Anticyclus,8
