Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count
A.,0,0.0,0
Abathymermis,0,6.0,18
Abbreviata,4,44.0,2
Abelbolla,0,7.0,5
Abirovulva,0,1.0,1
Ablechroiulus,0,14.0,18
Aborjinia,3,0.0,3
Abursanema,2,4.0,2
Acanthocheilonema,13,12.0,4
Acanthocheilus,1,3.0,6
Acantholaimus,60,57.0,50
Acanthomicrolaimus,0,1.0,1
Acanthonchus,2,3.0,10
Acanthopharynx,7,15.0,19
Acanthophryngoides,0,6.0,0
Acanthorhabdias,0,1.0,1
Acanthostrongylus,0,3.0,1
Acanthoxyurus,0,8.0,6
Acanthungella,0,1.0,0
Acephalodorylaimus,0,1.0,1
Acheilostoma,0,3.0,0
Achlysiella,0,7.0,6
Achromadora,11,24.0,31
Ackertia,0,4.0,0
Acmaeolaimus,0,1.0,1
Acontylus,0,1.0,0
Acrobeles,31,30.0,50
Acrobelinema,0,1.0,1
Acrobeloides,198,26.0,50
Acrobelophis,0,4.0,11
Acrolobus,0,1.0,2
Acromoldavicus,4,2.0,3
Acronema,0,1.0,1
Acrostichus,44,36.0,43
Acroukrainicus,0,1.0,1
Actinolaimoides,0,8.0,10
Actinolaimus,0,10.0,40
Actinonema,2,5.0,16
Actus,3,6.0,6
Acuaria,2,56.0,17
Acuariidae,1,0,0
Acugutturus,0,1.0,0
Aculonchus,1,0,6
Acunemella,0,1.0,1
Adelonema,0,1.0,0
Adelphos,0,1.0,1
Adenodelphis,0,1.0,1
Adenolaimus,0,6.0,7
Adieronema,0,4.0,0
Admirandus,1,3.0,5
Adoncholaimus,26,27.0,32
Aduncospiculum,1,0,1
Adungella,0,3.0,3
Aegialoalaimidae,1,0,0
Aegialoalaimus,2,9.0,15
Aelurostrongylus,1,6.0,3
Aenigmenchus,0,1.0,0
Aequalodontium,0,1.0,1
Aetholaimus,1,5.0,5
Afenestrata,0,6.0,6
Afractinca,0,5.0,5
Afractinolaimus,0,5.0,5
Africana,0,8.0,1
Africanema,1,3.0,2
Africanthion,0,1.0,1
Afrina,2,0,1
Afritylenchus,0,1.0,0
Afrocarnoya,0,1.0,1
Afrodorylaimus,0,7.0,14
Afronygus,0,1.0,1
Afrophilometra,1,0,1
Agamascaris,0,2.0,1
Agamermis,7,6.0,18
Agamofilaria,0,2.0,0
Agamomermis,0,10.0,16
Agamospirura,0,10.0,1
