Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count,GenBank Sequence Count
A.,0,0.0,0,0
Abathymermis,0,6.0,18,0
Abbreviata,4,44.0,2,0
Abelbolla,0,7.0,5,0
Abirovulva,0,1.0,1,0
Ablechroiulus,0,14.0,18,0
Aborjinia,3,0.0,3,0
Abursanema,2,4.0,2,0
Acanthocheilonema,13,12.0,4,0
Acanthocheilus,1,3.0,6,0
Acantholaimus,60,57.0,50,40
Acanthomicrolaimus,0,1.0,1,0
Acanthonchus,2,3.0,10,0
Acanthopharynx,7,15.0,19,0
Acanthophryngoides,0,6.0,0,0
Acanthorhabdias,0,1.0,1,0
Acanthostrongylus,0,3.0,1,0
Acanthoxyurus,0,8.0,6,0
Acanthungella,0,1.0,0,0
Acephalodorylaimus,0,1.0,1,0
Acheilostoma,0,3.0,0,0
Achlysiella,0,7.0,6,0
Achromadora,11,24.0,31,0
Ackertia,0,4.0,0,0
Acmaeolaimus,0,1.0,1,0
Acontylus,0,1.0,0,0
Acrobeles,31,30.0,50,20
Acrobelinema,0,1.0,1,0
Acrobeloides,198,26.0,50,10
Acrobelophis,0,4.0,11,0
Acrolobus,0,1.0,2,0
Acromoldavicus,4,2.0,3,6
Acronema,0,1.0,1,0
Acrostichus,44,36.0,43,53
Acroukrainicus,0,1.0,1,0
Actinolaimoides,0,8.0,10,0
Actinolaimus,0,10.0,40,0
Actinonema,2,5.0,16,0
Actus,3,6.0,6,6
Acuaria,2,56.0,17,0
Acuariidae,1,0,0,0
Acugutturus,0,1.0,0,0
Aculonchus,1,0,6,0
Acunemella,0,1.0,1,0
Adelonema,0,1.0,0,0
Adelphos,0,1.0,1,0
Adenodelphis,0,1.0,1,0
Adenolaimus,0,6.0,7,0
Adieronema,0,4.0,0,0
Admirandus,1,3.0,5,0
Adoncholaimus,26,27.0,32,9
Aduncospiculum,1,0,1,0
Adungella,0,3.0,3,0
Aegialoalaimidae,1,0,0,0
Aegialoalaimus,2,9.0,15,0
Aelurostrongylus,1,6.0,3,0
Aenigmenchus,0,1.0,0,0
Aequalodontium,0,1.0,1,0
Aetholaimus,1,5.0,5,0
Afenestrata,0,6.0,6,0
Afractinca,0,5.0,5,0
Afractinolaimus,0,5.0,5,0
Africana,0,8.0,1,0
Africanema,1,3.0,2,0
Africanthion,0,1.0,1,0
Afrina,2,0,1,0
Afritylenchus,0,1.0,0,0
Afrocarnoya,0,1.0,1,0
Afrodorylaimus,0,7.0,14,0
Afronygus,0,1.0,1,0
Afrophilometra,1,0,1,0
Agamascaris,0,2.0,1,0
Agamermis,7,6.0,18,0
Agamofilaria,0,2.0,0,0
Agamomermis,0,10.0,16,0
Agamospirura,0,10.0,1,0
Agfa,2,3.0,3,0
Aglenchus,5,14.0,18,0
Agmodorus,0,5.0,5,0
Agriostomum,0,5.0,0,0
Akanthepsilonema,0,2.0,3,0
Akrotonus,1,2.0,1,0
Alaeuris,0,38.0,41,0
Alaimella,3,2.0,3,1
Alaimidae,5,0,0,0
Alaimonema,0,1.0,1,0
Alaimus,18,52.0,50,0
Alainchabaudia,0,1.0,0,0
Alaninema,1,1.0,3,0
Albiziaphelenchus,0,1.0,1,0
Algoanema,0,1.0,1,0
Aliascaris,0,2.0,2,0
Alinema,1,1.0,2,0
Alippistrongylus,0,1.0,1,0
Alirhabditis,0,2.0,2,0
Allantonema,1,10.0,11,2
Allantonematidae,7,0,0,0
Allintoshius,0,8.0,0,0
Allodapa,0,5.0,4,0
Allodiplogaster,6,0.0,37,0
Allodorylaimus,7,27.0,30,2
Alloionema,5,5.0,5,2
Allomermis,1,3.0,4,0
Allotrichodorus,0,6.0,7,0
Allotylenchus,0,1.0,1,0
Alocostoma,2,2.0,0,0
Amblydorylaimus,1,1.0,1,0
Amblyonema,0,1.0,0,0
Amidostomoides,3,15.0,0,0
Amidostomum,1,7.0,14,0
Ammotheristus,0,2.0,2,0
Amphibelondira,0,5.0,3,0
Amphibiocapillaria,1,0,4,2
Amphibiogoezia,0,1.0,0,0
Amphibiomermis,0,6.0,18,0
Amphibiophilus,4,7.0,6,0
Amphicephaloides,1,1.0,0,0
Amphidelus,1,20.0,39,0
Amphidomermis,0,1.0,11,0
Amphidorylaimus,0,3.0,8,0
Amphimermis,3,23.0,17,0
Amphimonhystera,0,7.0,10,0
Amphimonhystrella,1,3.0,8,0
Amphisakis,0,1.0,0,0
Amphisbaenema,0,1.0,3,0
Amphispira,0,1.0,1,0
Amplicaecum,0,17.0,8,0
Amplimerlinius,7,22.0,27,0
Anadorella,0,1.0,1,0
Anandranema,0,1.0,0,0
Ananus,0,1.0,1,0
Anaplectus,14,12.0,19,0
Anaspiculuris,0,1.0,1,0
Anatonchidae,1,0,0,0
Anatonchus,6,13.0,28,3
Anatrichosoma,5,5.0,0,0
Anchidiplogaster,0,1.0,8,0
Anchobelondira,0,1.0,1,0
Ancylostoma,10,32.0,6,2
Ancylostomatidae,1,0,0,0
Ancyracanthopsis,1,8.0,4,0
Ancyracanthus,1,4.0,5,0
Andersonfilaria,0,2.0,0,0
Andersonstrongylus,0,2.0,0,0
Andrassy,0,nan,0,0
Andrassya,0,2.0,3,0
Angiocaulus,1,0,1,0
Angiostoma,11,21.0,26,0
Angiostrongylus,12,24.0,7,0
Anguillicola,5,1.0,7,0
Anguillicoloides,0,4.0,4,0
Anguillonema,2,4.0,4,13
Anguillula,0,2.0,25,0
Anguina,39,13.0,7,0
Anguinid,2,0,0,0
Anguinidae,4,0,0,0
Anguinoides,1,7.0,2,0
Angulocirrus,0,1.0,0,0
Angusticaecum,1,5.0,4,0
Angustinema,0,1.0,1,0
Anisakidae,130,0,0,0
Anisakis,155,26.0,35,25
Anivanema,0,1.0,1,0
Anomalomermis,0,4.0,2,0
Anomalostoma,0,1.0,1,0
Anomonema,4,1.0,2,0
Anomyctus,1,1.0,1,0
Anoncholaimus,0,1.0,1,0
Anonchus,0,10.0,11,0
Anoplostoma,41,23.0,28,0
Anoplostomatidae,2,0,0,0
Anoplostrongylus,0,2.0,1,0
Antarctenchus,1,1.0,3,0
Antarcticonema,0,3.0,3,0
Antarctylus,0,1.0,0,0
Antechiniella,1,4.0,1,0
Antechinostrongylus,0,1.0,0,0
Antholaimus,0,8.0,3,0
Anthonema,0,1.0,2,0
Anticoma,13,49.0,50,0
Anticomidae,12,0,0,0
Anticomopsis,0,4.0,6,0
Anticyathus,9,6.0,8,60
Anticyclus,0,8.0,8,0
Antomicron,1,6.0,11,0
Antopus,0,1.0,1,0
Anuronema,0,1.0,1,0
Aonchotheca,9,60.0,31,8
Aorolaimus,3,7.0,1,0
Aoruroides,3,7.0,6,6
Aorurus,1,4.0,8,4
Apenodraconema,0,2.0,2,0
Aphanimermis,0,1.0,0,0
Aphanolaimus,3,38.0,47,0
Aphanonchus,1,8.0,8,0
Aphasmatylenchus,0,4.0,0,0
Aphelenchoides,253,220.0,50,39
Aphelenchoididae,19,0,0,0
Aphelenchoidinae,3,0,0,0
Aphelenchulus,0,1.0,7,0
Aphelenchus,39,29.0,36,7
Apifilaria,0,1.0,1,0
Aplectana,10,65.0,50,0
Apodontium,0,4.0,3,0
Apoleptonchus,0,1.0,1,0
Aponchium,0,2.0,2,0
Aponcholaimus,0,1.0,1,0
Aponema,2,9.0,18,0
Aporcedorus,0,2.0,2,0
Aporcelaimellus,113,76.0,50,13
Aporcelaimidae,1,0,0,0
Aporcelaimoides,0,14.0,0,0
Aporcelaimus,4,35.0,49,0
Aporcelinus,12,41.0,34,11
Aporcella,13,5.0,22,16
Apratylenchoides,0,3.0,3,0
Apratylenchus,2,0,2,0
Aprocta,2,39.0,7,0
Aproctella,10,13.0,0,0
Aproctiana,0,4.0,0,0
Aproctoides,0,3.0,0,0
Aproctonema,0,3.0,3,0
Aprutides,1,2.0,2,0
Aquaemermis,0,3.0,4,0
Aquatides,2,16.0,15,0
Arabanema,0,1.0,1,0
Arachnomermis,0,4.0,2,0
Araeolaimida,1,0,0,0
Araeolaimus,5,34.0,50,0
Araguanema,0,3.0,1,0
Aranimermis,0,3.0,3,0
Arboritynchus,0,1.0,0,0
Archeonema,0,1.0,1,0
Archeostrongylus,0,19.0,1,0
Archepsilonema,0,8.0,8,0
Arctidorylaimus,0,4.0,5,0
Arctiplectus,0,1.0,1,0
Arenasoma,0,1.0,1,0
Arganema,0,1.0,1,0
Arnfieldia,0,1.0,0,0
Aronema,0,2.0,1,0
Arthrocephalus,0,1.0,1,0
Arthrostoma,2,5.0,1,0
Artigasia,0,34.0,39,0
Arundelia,1,1.0,0,1
Asakawanema,0,1.0,1,0
Ascaridia,8,37.0,0,0
Ascarididae,2,0,0,0
Ascaridiidae,1,0,0,0
Ascaridoidea,6,0,0,0
Ascaridomorpha,2,0,0,0
Ascaris,76,153.0,50,0
Ascarites,0,3.0,1,0
Ascarophis,4,47.0,50,0
Ascarops,1,9.0,1,0
Ascaroterakis,0,1.0,0,0
Ascolaimus,4,3.0,3,0
Ashworthius,1,9.0,2,0
Asperotobrilus,0,3.0,5,0
Aspiculuris,11,12.0,21,1
Aspidodera,13,9.0,0,0
Aspidonema,0,7.0,6,0
Astomonema,1,5.0,5,0
Asymmelaimus,1,0,1,0
Asymmetracantha,0,1.0,0,0
Asymmetrella,0,1.0,1,0
Asynmelaimus,0,2.0,0,0
Atalodera,11,13.0,0,0
Ataronema,0,1.0,1,0
Atetylenchus,6,6.0,9,11
